Municipality,2012,2011,2010,2009,2008
Barrie,-6.68,-12.73,-1.07,,
Brant,,,,,4.00
Caledon,,,,-10.59,26.85
Durham,-7.19,-7.45,-11.78,-7.02,-0.42
Halton,-12.59,-11.36,4.91,-9.97,-4.34
Hamilton,-2.11,-7.16,-5.88,-3.03,-2.68
London,-5.49,-6.85,-14.89,1.58,-0.25
Muskoka,,,-15.35,-2.98,3.63
Niagara,-2.46,-12.01,-7.10,-3.95,0.50
Ottawa,-0.10,-2.09,-9.54,-3.10,-9.28
Peel,,,,-6.22,-6.90
Sudbury (Greater),-9.26,-9.17,8.99,1.25,-2.86
Thunder Bay,-18.66,-7.74,-5.34,11.89,-2.81
Toronto,-5.21,-3.50,-7.49,-1.86,-8.02
Waterloo,-2.79,-7.28,-13.66,10.37,-0.27
Windsor,8.49,-9.29,-10.15,-2.65,-15.84
Winnipeg,-4.02,-18.44,,,
York,-5.65,-6.55,-7.08,-8.59,1.75
