Municipality,2012,2011,2010,2009,2008
Barrie,142890.94,130409.66,122407.58,,
Brant,,,,,109265.65
Caledon,,,,129568.03,117720.51
Durham,130635.01,132070.20,124803.63,119603.90,112901.41
Halton,133233.95,123439.07,131154.28,116883.24,115646.58
Hamilton,141664.38,135455.38,130189.04,125556.01,120837.35
London,122471.07,120731.04,115775.50,108805.25,105367.58
Muskoka,120018.91,116199.27,110622.63,106222.53,101480.49
Niagara,137332.62,126329.83,118582.13,123903.85,123510.34
Ottawa,139008.24,131831.91,127868.50,121717.53,111860.16
Peel,,,,109735.90,104419.36
Sudbury (Greater),130461.69,126846.60,123772.32,117366.78,113213.82
Thunder Bay,120279.89,125012.73,113266.95,103643.39,100414.44
Toronto,128155.07,131622.00,132587.94,117102.01,112414.29
Waterloo,130569.84,125788.68,117598.77,117877.39,109029.45
Windsor,153926.11,143909.01,133646.40,137344.88,113599.61
Winnipeg,121150.15,110320.40,,,
York,129346.19,123387.18,120747.28,115103.00,109005.13
