Municipality,2012,2011,2010,2009,2008
Barrie,336.74,310.76,283.01,,
Brant,,,,,180.67
Caledon,,,,127.72,115.22
Durham,242.22,235.54,228.15,220.95,206.43
Halton,243.06,226.90,229.58,206.21,200.94
Hamilton,266.27,262.61,253.32,253.65,235.97
London,271.83,265.86,252.41,238.53,230.83
Muskoka,97.16,95.21,92.44,90.23,142.62
Niagara,279.60,290.18,272.23,260.93,249.41
Ottawa,282.41,276.47,246.34,227.06,213.58
Peel,,,,222.68,212.65
Sudbury (Greater),306.21,300.70,292.10,273.88,261.37
Thunder Bay,324.73,336.35,270.71,279.94,256.15
Toronto,361.30,372.10,376.63,332.72,317.30
Waterloo,246.89,230.88,216.51,216.41,198.37
Windsor,445.05,418.94,377.98,367.91,294.13
Winnipeg,323.50,297.59,,,
York,237.67,226.30,222.06,213.02,200.47
