Municipality,2012,2011,2010,2009,2008
Barrie,77.7,76.3,77.6,,
Brant,,,,,95.0
Caledon,,,,98.0,87.5
Durham,76.6,79.1,78.6,75.9,79.7
Halton,72.3,69.9,71.1,80.4,82.1
Hamilton,60.1,59.6,55.1,63.0,60.7
London,69.8,71.4,74.1,74.8,73.2
Muskoka,91.2,94.3,90.9,89.0,84.7
Niagara,71.4,78.3,66.9,64.7,62.8
Ottawa,66.6,62.3,64.6,66.0,74.3
Peel,,,,72.5,72.3
Sudbury (Greater),84.7,80.1,77.3,77.0,81.8
Thunder Bay,78.0,76.3,79.2,75.0,76.3
Toronto,58.7,55.9,60.1,58.5,59.4
Waterloo,64.5,67.1,71.9,71.2,76.6
Windsor,76.3,79.3,77.2,75.8,74.9
Winnipeg,61.6,59.4,,,
York,76.4,79.6,78.8,75.9,75.9
