Municipality,2012,2011,2010,2009,2008
Barrie,-12.2,19.7,2.5,,
Brant,,,,,16.7
Caledon,,,,-4.1,25.7
Durham,-4.7,-9.2,-11.3,-5.3,-3.2
Halton,-25.5,-17.0,-6.5,-10.2,-17.8
Hamilton,7.5,-7.8,-19.3,-18.4,8.2
London,-7.8,-25.8,-9.6,-7.0,1.1
Muskoka,,,-38.0,350.0,-82.1
Niagara,-20.5,-3.5,0.0,-2.3,-1.9
Ottawa,-4.2,-11.2,-8.1,-5.2,-2.5
Peel,,,,-2.7,-11.6
Sudbury (Greater),-6.9,6.1,-5.9,-15.1,-8.6
Thunder Bay,28.8,-16.5,22.6,-48.0,-18.5
Toronto,-15.1,-10.4,-8.7,-11.5,-9.0
Waterloo,-14.9,-3.9,-14.2,7.0,5.9
Windsor,-16.0,-7.7,-26.6,-68.1,
Winnipeg,,-13.4,,,
York,-8.9,-10.6,-13.4,1.8,-3.5
