Municipality,2012,2011,2010,2009,2008
Barrie,70.6,70.9,69.5,,
Brant,,,,,12.7
Caledon,,,,8.2,7.7
Durham,62.5,51.8,52.9,55.3,57.0
Halton,56.2,57.4,51.0,51.8,50.2
Hamilton,52.7,51.8,52.9,52.3,53.2
London,58.9,59.3,58.3,58.3,58.5
Muskoka,7.9,8.0,5.3,5.9,9.8
Niagara,71.6,71.6,71.9,72.3,68.8
Ottawa,60.2,65.3,61.9,59.6,58.9
Peel,,,,63.5,62.9
Sudbury (Greater),71.6,72.4,73.0,72.2,72.2
Thunder Bay,79.2,77.7,77.8,79.8,79.8
Toronto,81.4,81.7,81.8,82.0,81.4
Waterloo,52.4,52.6,50.9,50.1,48.5
Windsor,72.5,73.0,71.1,72.1,67.4
Winnipeg,62.4,65.2,,,
York,48.9,48.8,49.0,49.3,49.0
