Municipality,2012,2011,2010,2009,2008
Barrie,-2.7,9.4,-7.4,,
Brant,,,,,-6.6
Caledon,,,,-12.7,-24.2
Durham,-15.8,-8.1,2.4,-8.0,0.8
Halton,-6.1,-9.9,-3.1,-5.0,-8.9
Hamilton,0.7,-3.2,3.2,-8.9,-5.7
London,7.0,1.1,6.4,-11.0,-10.7
Muskoka,,,-33.8,-3.9,19.5
Niagara,-46.8,-8.4,1.3,-6.1,-7.5
Ottawa,-1.2,-9.7,28.1,-15.5,-5.4
Peel,,,,-4.2,-10.2
Sudbury (Greater),-0.2,3.9,11.0,-6.9,-2.4
Thunder Bay,-5.7,16.2,4.9,-11.8,5.8
Toronto,-10.5,-8.5,-10.0,-6.9,-0.3
Waterloo,-0.6,-3.8,0.6,-6.9,-8.6
Windsor,-9.8,4.2,-6.8,-21.4,-14.2
Winnipeg,4.9,3.5,,,
York,-9.0,-3.2,-6.3,-7.7,-1.7
