Municipality,2012,2011,2010,2009,2008
Barrie,58.07,63.00,71.00,,
Brant,,,,,
Caledon,,,,29.10,35.20
Durham,40.70,44.90,47.20,55.20,62.90
Halton,30.40,35.70,40.00,40.50,45.20
Hamilton,69.00,68.50,75.90,78.70,81.50
London,87.40,93.50,96.10,104.30,103.00
Muskoka,,,,76.50,73.90
Niagara,66.90,74.30,75.00,80.70,84.50
Ottawa,56.50,55.60,58.20,63.70,68.20
Peel,,,,48.60,51.60
Sudbury (Greater),70.20,79.00,85.00,74.30,72.90
Thunder Bay,77.00,100.00,102.20,102.40,104.40
Toronto,46.22,48.80,52.60,57.00,59.70
Waterloo,56.95,60.08,66.90,76.80,71.30
Windsor,86.80,79.90,83.80,88.10,94.70
Winnipeg,80.40,82.50,,,
York,34.58,37.80,42.20,44.50,46.20
