Municipality,2012,2011,2010,2009,2008
Barrie,235.7,238.3,231.2,,
Brant,,,,,165.6
Caledon,,,,116.2,107.7
Durham,197.6,188.6,193.1,195.2,194.1
Halton,183.3,184.8,175.8,177.4,174.8
Hamilton,201.6,201.8,202.9,202.0,202.3
London,222.8,220.9,218.8,220.0,219.9
Muskoka,80.9,82.0,83.6,85.0,140.5
Niagara,229.2,229.7,229.6,230.3,215.3
Ottawa,206.0,212.2,211.6,208.8,206.5
Peel,,,,213.9,215.6
Sudbury (Greater),234.7,237.1,236.0,233.4,230.9
Thunder Bay,270.0,269.0,269.5,271.9,270.2
Toronto,281.9,282.7,284.1,284.1,282.3
Waterloo,189.1,183.5,184.1,183.6,181.9
Windsor,294.9,297.3,289.6,290.5,286.4
Winnipeg,267.0,269.7,,,
York,183.7,183.4,183.9,185.1,183.9
