Municipality,2012,2011,2010,2009,2008
Barrie,29.9,31.9,36.5,,
Brant,,,,,29.7
Caledon,,,,21.0,23.9
Durham,22.9,24.7,25.8,28.3,30.9
Halton,19.0,22.2,24.8,23.8,26.5
Hamilton,34.1,35.3,37.9,39.1,42.6
London,40.6,42.8,45.6,49.5,50.1
Muskoka,19.9,34.3,31.1,36.2,37.5
Niagara,31.6,31.0,34.5,36.4,43.0
Ottawa,26.9,26.9,27.4,29.1,30.9
Peel,,,,21.4,23.0
Sudbury (Greater),31.4,33.5,36.3,34.3,34.6
Thunder Bay,38.7,44.0,49.0,47.9,46.3
Toronto,19.0,20.2,21.0,22.5,23.2
Waterloo,31.8,34.3,35.7,39.6,36.3
Windsor,30.8,28.7,31.3,30.5,27.2
Winnipeg,37.4,32.8,,,
York,16.3,17.3,18.4,19.5,21.2
