Municipality,2012,2011,2010,2009,2008
Barrie,1419.90,1400.10,1400.20,,
Brant,,,,,37.20
Caledon,,,,0.00,
Durham,254.20,251.10,245.10,243.30,241.40
Halton,521.70,508.70,507.70,493.40,480.20
Hamilton,474.60,470.90,468.60,466.10,460.30
London,873.80,864.80,863.40,856.30,848.30
Muskoka,15.60,15.50,15.30,16.20,16.00
Niagara,235.60,234.90,234.10,233.60,233.20
Ottawa,334.40,332.20,328.20,324.90,321.20
Peel,,,,1039.70,1007.00
Sudbury (Greater),44.60,44.20,43.80,44.30,44.30
Thunder Bay,330.12,330.10,332.30,332.30,332.30
Toronto,4402.01,4400.50,4373.40,4346.30,4319.10
Waterloo,404.40,400.10,393.40,387.00,386.20
Windsor,1435.51,1435.50,1473.50,1473.50,1473.50
Winnipeg,1473.20,1446.00,,,
York,624.20,611.30,598.00,581.40,569.50
