Municipality,2012,2011,2010,2009,2008
Barrie,-1.6,10.6,0.3,,
Brant,,,,,27.3
Caledon,,,,-28.9,6.6
Durham,-6.4,-3.9,-6.2,-1.7,-11.8
Halton,-22.0,0.0,3.3,-6.2,-12.9
Hamilton,-18.1,-6.2,4.0,-7.1,-1.0
London,-11.0,-5.4,5.5,-0.7,-0.9
Muskoka,,,-1.2,1.5,-17.0
Niagara,-8.0,-17.0,3.1,-11.8,11.4
Ottawa,-4.2,-5.7,-6.9,-3.5,-9.4
Peel,,,,-9.4,-5.8
Sudbury (Greater),-5.0,-5.2,-1.1,4.3,-4.2
Thunder Bay,-11.1,-3.2,-5.1,-2.2,-7.2
Toronto,-7.1,-2.6,-4.5,-2.7,-4.2
Waterloo,-7.2,-3.1,5.2,9.1,6.1
Windsor,9.6,-10.5,-7.1,2.7,-4.6
Winnipeg,-5.7,-7.6,,,
York,-3.1,-7.1,-2.5,-2.2,-3.6
