Municipality,2012,2011,2010,2009,2008
Barrie,-5.0,-12.7,-2.0,,
Brant,,,,,3.4
Caledon,,,,-13.9,16.3
Durham,-8.2,-6.8,-8.8,-6.1,-2.8
Halton,-13.9,-9.3,4.0,-9.0,-6.3
Hamilton,-5.7,-6.6,-3.0,-4.4,-2.6
London,-4.0,-5.2,-8.7,-0.9,-2.3
Muskoka,,,-15.3,-2.4,1.2
Niagara,-8.8,-12.4,1.3,5.9,-1.4
Ottawa,-0.8,-3.5,-5.7,-4.4,-8.9
Peel,,,,-6.7,-7.0
Sudbury (Greater),-7.1,-6.7,7.1,0.8,-3.1
Thunder Bay,-14.7,-5.2,-3.6,4.3,-2.3
Toronto,-6.1,-3.6,-6.9,-2.5,-6.3
Waterloo,-3.4,-6.0,-8.7,7.9,-0.4
Windsor,6.1,-4.1,-9.1,-4.5,-13.7
Winnipeg,-3.4,-14.4,,,
York,-5.3,-6.4,-6.0,-7.2,0.3
