Municipality,2012,2011,2010,2009,2008
Barrie,-6.7,-9.0,-6.5,,
Brant,,,,,
Caledon,,,,-25.5,15.7
Durham,-5.9,-7.9,-14.9,-8.4,-3.5
Halton,-14.9,-10.4,1.4,-10.6,-5.3
Hamilton,-4.0,-10.0,-4.0,-3.2,-8.5
London,-8.4,-1.5,-5.2,3.5,-4.3
Muskoka,,,,1.3,-2.5
Niagara,4.6,-0.1,-8.0,-5.2,0.2
Ottawa,-1.6,-5.5,-10.2,-2.7,-8.8
Peel,,,,-4.7,-2.8
Sudbury (Greater),-9.1,-6.3,3.6,9.9,-7.0
Thunder Bay,-19.1,-3.9,0.6,3.7,-2.8
Toronto,-4.2,-4.2,-6.7,-3.1,-6.1
Waterloo,-7.8,-6.9,-8.2,7.7,-3.5
Windsor,9.6,-5.6,-6.9,-6.1,-7.4
Winnipeg,-5.5,-8.8,,,
York,-9.1,-8.8,-2.7,-1.3,-4.7
