Municipality,2012,2011,2010,2009,2008
Barrie,-0.9,-6.9,-7.1,,
Brant,,,,,
Caledon,,,,-46.1,22.1
Durham,2.4,-14.1,-14.3,,-18.4
Halton,-16.3,-9.0,10.7,-11.1,-9.2
Hamilton,-13.7,-10.0,-4.7,-3.0,-10.0
London,-14.1,-0.7,3.9,11.5,-5.4
Muskoka,,,,-10.6,-14.4
Niagara,12.2,0.0,-10.4,-7.3,5.4
Ottawa,-8.9,-7.9,-13.4,6.4,-2.7
Peel,,,,-2.7,4.1
Sudbury (Greater),-4.2,-7.4,-13.9,30.1,-17.7
Thunder Bay,-10.3,-7.1,1.9,16.6,-12.9
Toronto,-3.0,-3.8,-5.8,-1.4,-5.0
Waterloo,-13.9,2.0,6.4,7.6,-9.1
Windsor,11.4,-9.1,-11.3,-4.2,17.2
Winnipeg,-9.1,3.5,,,
York,-6.8,-8.5,3.9,4.8,-14.1
