Municipality,2012,2011,2010,2009,2008
Barrie,27.2,27.7,25.4,,
Brant,,,,,19.2
Caledon,,,,16.2,10.6
Durham,27.5,29.4,28.5,27.6,26.2
Halton,24.5,25.8,24.6,27.5,28.9
Hamilton,18.7,17.3,16.4,19.2,18.0
London,29.7,30.9,28.6,24.3,25.7
Muskoka,21.9,20.7,,22.0,19.4
Niagara,22.6,25.4,19.5,19.7,20.1
Ottawa,25.0,26.6,26.2,24.0,25.5
Peel,,,,32.9,29.0
Sudbury (Greater),23.8,24.0,21.4,22.2,23.6
Thunder Bay,23.5,22.1,24.6,23.1,22.2
Toronto,19.8,17.6,20.7,20.4,22.0
Waterloo,24.4,24.6,27.6,23.3,24.6
Windsor,19.9,19.8,18.5,19.9,19.1
Winnipeg,14.6,13.0,,,
York,35.7,33.0,33.3,32.1,28.2
