Municipality,2012,2011,2010,2009,2008
Barrie,66.3,62.9,71.4,,
Brant,,,,,33.9
Caledon,,,,89.6,80.6
Durham,95.3,94.1,95.1,95.1,95.6
Halton,85.5,86.9,87.3,89.4,88.2
Hamilton,89.1,87.8,89.8,90.2,85.8
London,80.9,78.6,81.7,83.2,85.2
Muskoka,83.8,83.8,,73.9,71.8
Niagara,91.1,83.8,83.8,86.6,89.0
Ottawa,88.2,88.5,90.7,85.0,81.7
Peel,,,,94.4,93.8
Sudbury (Greater),98.0,95.9,96.3,97.7,97.4
Thunder Bay,98.4,98.0,99.6,98.1,98.5
Toronto,86.6,80.4,88.7,89.6,95.9
Waterloo,91.0,90.4,91.4,93.2,93.2
Windsor,90.9,94.4,93.2,93.6,95.4
Winnipeg,98.2,96.9,,,
York,89.7,91.9,92.1,91.8,93.7
