Municipality,2012,2011,2010,2009,2008
Barrie,148453.80,135800.41,127198.25,,
Brant,,,,,
Caledon,,,,129568.03,
Durham,134113.00,135795.88,128412.21,123665.61,
Halton,137842.70,128061.45,135675.52,120269.50,
Hamilton,143927.96,137659.99,132414.14,127789.56,
London,126204.49,124329.46,118746.23,111366.19,
Muskoka,120018.91,116199.27,110622.63,106222.53,
Niagara,142567.44,126329.83,133996.03,128656.10,
Ottawa,140805.74,133601.75,127868.50,123834.00,
Peel,,,,112956.50,
Sudbury (Greater),134999.47,131396.52,127,832.89,121440.87,
Thunder Bay,122238.12,127114.21,115,217.08,105997.19,
Toronto,133268.76,137320.73,138,280.63,121823.35,
Waterloo,135084.79,130337.91,122023.57,121577.40,
Windsor,157049.06,146636.97,136379.90,140446.37,
Winnipeg,123552.28,113166.56,,,
York,135118.57,129907.43,124943.59,118942.48,
