Municipality,2012,2011,2010,2009,2008
Barrie,44.1,43.0,42.2,,
Brant,,,,,32.3
Caledon,,,,33.3,29.8
Durham,47.2,49.4,48.6,46.1,45.8
Halton,37.6,38.6,37.2,41.5,42.3
Hamilton,33.7,33.5,31.7,34.4,33.3
London,46.7,46.6,45.6,40.5,42.6
Muskoka,43.4,40.5,,39.6,36.4
Niagara,38.2,43.1,37.2,33.8,34.5
Ottawa,38.1,38.9,39.8,36.0,38.4
Peel,,,,46.5,43.8
Sudbury (Greater),47.5,45.3,41.9,43.1,45.3
Thunder Bay,50.6,47.3,48.5,45.6,48.4
Toronto,35.5,33.4,37.4,36.7,38.8
Waterloo,41.2,41.9,44.5,39.6,42.7
Windsor,40.0,42.2,39.8,40.1,40.8
Winnipeg,33.8,31.6,,,
York,49.2,48.1,48.1,46.2,43.1
