Municipality,2012,2011,2010,2009,2008
Barrie,165.0,167.4,161.7,,
Brant,,,,,152.9
Caledon,,,,108.0,100.0
Durham,135.1,136.8,140.2,139.9,137.1
Halton,127.2,127.4,124.8,125.6,124.6
Hamilton,148.9,150.1,150.0,149.7,149.1
London,163.8,161.7,160.5,161.8,161.4
Muskoka,73.0,73.9,78.2,79.1,130.7
Niagara,157.6,158.1,157.7,158.0,146.6
Ottawa,145.8,146.9,149.7,149.3,147.6
Peel,,,,150.4,152.7
Sudbury (Greater),163.1,164.7,163.0,161.2,158.7
Thunder Bay,190.8,191.3,191.6,192.1,190.4
Toronto,200.5,201.0,202.3,202.1,200.9
Waterloo,136.7,130.9,133.2,133.5,133.4
Windsor,222.4,224.3,218.5,218.5,218.9
Winnipeg,204.6,204.5,,,
York,134.9,134.6,134.9,135.8,134.9
