Municipality,2012,2011,2010,2009,2008
Barrie,12.8,13.0,13.0,16.7,
Brant,,,,,0.1
Calgary,9.2,8.9,,,
Hamilton,2.3,2.3,2.3,1.9,1.9
London,6.0,5.8,5.7,5.6,5.5
Ottawa,1.5,1.3,1.3,1.7,1.7
Sudbury (Greater),1.1,1.1,1.1,1.1,1.1
Thunder Bay,6.2,6.2,4.6,4.6,5.1
Toronto,12.7,12.7,12.7,12.7,12.7
Windsor,6.5,6.5,6.5,6.5,6.5
Winnipeg,6.1,6.4,6.4,6.4,
