Municipality,2012,2011,2010,2009,2008
Barrie,9.30,9.59,9.57,9.64,
Brant,,,,,2.93
Calgary,6.93,6.93,,,
Hamilton,4.85,4.89,4.99,4.04,4.09
London,6.86,6.72,6.61,6.52,6.50
Ottawa,4.43,3.91,3.95,5.24,5.23
Sudbury (Greater),24.00,24.21,24.42,24.15,24.15
Thunder Bay,18.81,18.81,13.89,13.89,15.20
Toronto,2.90,2.89,2.91,2.92,2.94
Windsor,4.54,4.54,4.43,4.43,4.39
Winnipeg,4.12,4.42,4.46,4.54,
