Municipality,2012,2011,2010,2009,2008
Barrie,11.89,12.06,12.06,12.14,
Brant,,,,,25.81
Calgary,,,,,
Hamilton,6.17,6.21,6.05,5.89,6.17
London,9.46,8.74,10.68,8.01,8.08
Ottawa,5.88,5.07,4.90,4.52,3.45
Sudbury (Greater),5.56,5.63,5.66,2.48,2.48
Thunder Bay,1.85,1.85,1.83,1.83,0.92
Toronto,2.40,2.58,1.95,2.14,1.97
Windsor,4.27,3.79,3.69,3.69,3.69
Winnipeg,4.82,4.77,4.82,4.89,
