Municipality,2012,2011,2010,2009,2008
Barrie,17.2,17.5,17.5,17.5,
Brant,,,,,1.4
Calgary,9.2,8.9,,,
Hamilton,9.9,9.9,9.9,9.8,9.8
London,9.8,9.5,10.2,9.1,9.0
Ottawa,9.0,9.1,9.1,10.4,9.9
Sudbury (Greater),3.9,3.8,3.8,3.8,3.8
Thunder Bay,8.6,4.6,5.1,5.1,5.1
Toronto,13.2,13.2,13.2,13.2,13.1
Windsor,6.6,6.6,6.6,6.6,6.5
Winnipeg,8.1,8.6,8.5,8.5,
