Municipality,2012,2011,2010,2009,2008
Barrie,0.36,0.36,0.36,0.35,
Brant,,,,,0.30
Calgary,0.68,0.65,,,
Hamilton,0.10,0.09,0.09,0.10,0.09
London,0.56,0.55,0.53,0.52,0.51
Ottawa,0.41,0.25,0.26,0.26,0.26
Sudbury (Greater),1.07,1.05,1.06,1.05,1.05
Thunder Bay,0.43,0.48,0.47,0.46,0.31
Toronto,0.09,0.09,0.09,0.09,0.08
Windsor,0.56,0.50,0.46,0.46,0.46
Winnipeg,0.36,0.39,0.40,0.40,
