Municipality,2012,2011,2010,2009,2008
Barrie,10198.99,11816.41,8286.43,7668.97,
Brant,,,,,15063.43
Calgary,12367.14,13380.01,11890.32,11412.00,
Durham,10960.45,9986.70,12116.95,11440.84,9375.91
Halton,12444.37,13998.16,7943.43,10535.17,8890.50
Hamilton,8952.15,10520.25,8913.19,8425.69,7802.49
London,14921.90,12254.77,11583.06,12002.53,8574.86
Muskoka,6993.86,7005.92,6804.68,6138.17,5300.76
Niagara,10936.85,10677.42,18001.10,8817.79,14373.73
Ottawa,19107.92,16486.15,12286.69,12229.81,8476.60
Peel,,,,9084.60,5080.42
Sudbury (Greater),10359.50,10711.97,9305.19,10642.33,7931.63
Thunder Bay,12704.93,13922.55,11217.00,9196.03,7820.36
Toronto,13905.03,18410.19,23160.32,24722.11,17734.15
Waterloo,,,,,
Windsor,8163.29,8916.75,8814.87,7306.12,4011.46
Winnipeg,8103.01,7826.43,8928.73,,
York,55543.27,60992.65,60932.52,32379.09,15221.10
