Municipality,2012,2011,2010,2009,2008
Barrie,81.7,82.5,82.7,83.8,
Brant,,,,,45.4
Calgary,102.8,100.0,100.0,100.0,100.0
Durham,96.1,95.9,96.0,95.6,95.0
Halton,95.9,95.9,96.0,95.7,95.6
Hamilton,92.0,93.2,93.0,93.0,93.0
London,97.2,97.2,97.1,97.1,98.5
Muskoka,23.9,23.9,23.7,23.9,23.9
Niagara,,,,70.9,70.5
Ottawa,91.6,91.6,87.9,90.8,86.6
Peel,,,,98.5,98.4
Sudbury (Greater),82.1,83.0,82.9,83.7,83.8
Thunder Bay,80.9,80.9,81.0,81.0,81.7
Toronto,100.0,100.0,,,
Waterloo,96.2,96.4,96.1,95.9,95.0
Windsor,,,100.0,100.0,100.0
Winnipeg,99.5,99.5,99.5,,
York,,94.0,94.0,92.2,94.0
