Municipality,2012,2011,2010,2009,2008
Barrie,620.0,620.0,606.0,599.7,
Brant,,,,,157.3
Calgary,4887.0,4475.0,4746.2,4693.0,4667.0
Durham,2351.0,2382.0,2355.0,2348.0,2325.1
Halton,2229.0,2121.0,2111.3,2105.9,2043.0
Hamilton,2025.0,2016.0,1992.4,1974.0,1966.0
London,1562.0,1561.0,1554.0,1544.3,1539.3
Muskoka,353.0,342.8,342.8,340.1,336.7
Niagara,315.4,316.0,314.1,317.0,290.6
Ottawa,2952.0,2907.0,2853.0,2824.0,2801.4
Peel,,,,4055.8,4015.2
Sudbury (Greater),944.0,942.2,937.1,937.1,919.0
Thunder Bay,721.0,723.5,719.0,719.0,719.0
Toronto,6016.0,5896.0,5929.0,5929.0,5950.0
Waterloo,,,,,
Windsor,1061.4,1064.2,1082.7,1078.8,1111.0
Winnipeg,2707.2,2679.4,2692.8,,
York,335.0,328.0,312.0,308.5,300.8
