Municipality,2012,2011,2010,2009,2008
Barrie,53.0,35.2,35.3,34.0,
Brant,,,,,39.2
Calgary,39.5,39.7,37.4,34.8,35.2
Durham,24.0,24.7,26.4,28.3,28.7
Halton,29.0,29.7,30.1,29.3,31.7
Hamilton,33.7,33.5,33.9,35.9,40.7
London,56.8,57.4,57.2,57.3,57.3
Muskoka,41.0,40.9,39.9,38.0,39.3
Niagara,,,,,
Ottawa,27.7,29.6,28.6,27.8,29.0
Peel,,,,36.2,31.9
Sudbury (Greater),45.9,41.4,34.1,33.1,33.6
Thunder Bay,47.9,46.6,46.6,42.2,45.1
Toronto,38.6,38.6,38.6,34.2,40.7
Waterloo,,,,28.0,28.0
Windsor,53.0,53.0,48.0,48.7,51.3
Winnipeg,31.7,30.5,31.1,,
York,,,,,
