Municipality,2012,2011,2010,2009,2008
Barrie,0.00000,0.00000,0.00000,0.00000,
Brant,,,,,0.00000
Calgary,0.00022,,0.00000,0.00000,0.00000
Durham,0.00000,0.00000,0.00000,,0.00000
Halton,0.00000,0.00000,0.00000,0.00000,0.00000
Hamilton,0.00000,0.00000,0.00000,0.00000,0.00000
London,0.00000,0.00000,0.00000,0.00000,0.00000
Muskoka,0.00000,0.00000,0.00000,0.00000,0.00000
Niagara,,,,,
Ottawa,0.00001,0.00001,,0.00006,0.00000
Peel,,,,0.00000,
Sudbury (Greater),0.00000,0.00000,0.00000,0.00000,0.00000
Thunder Bay,0.00000,0.00000,0.00000,0.00000,0.00000
Toronto,0.00000,0.00000,0.00000,0.00000,0.00000
Waterloo,0.00000,0.00000,0.00000,0.00000,0.00000
Windsor,0.00000,0.00000,0.00000,0.00000,0.00000
Winnipeg,0.00000,0.00000,0.00000,,
York,0.00000,,,,
