Municipality,2012,2011,2010,2009,2008
Barrie,3.35,3.27,3.32,3.33,
Brant,,,,,2.81
Calgary,2.51,2.58,2.59,2.60,2.59
Durham,2.68,2.69,2.68,2.76,2.74
Halton,2.74,2.79,2.79,2.80,2.80
Hamilton,2.50,2.48,2.49,2.50,2.52
London,2.18,2.19,2.21,2.22,2.22
Muskoka,2.50,2.50,2.50,2.53,2.70
Niagara,2.34,2.34,2.08,2.95,2.95
Ottawa,2.37,2.38,2.77,2.69,2.58
Peel,,,,3.40,3.26
Sudbury (Greater),2.21,2.21,2.22,2.22,2.22
Thunder Bay,2.56,2.56,2.56,2.56,2.54
Toronto,2.50,2.54,2.54,2.54,2.53
Waterloo,2.79,2.77,2.77,2.80,2.77
Windsor,2.40,2.45,2.45,2.45,2.45
Winnipeg,2.50,2.47,2.44,,
York,3.13,3.33,3.34,3.41,3.34
