Municipality,2012,2011,2010,2009,2008
Barrie,100.25,0.21,0.20,0.21,
Brant,,,,,0.22
Calgary,0.19,0.20,0.20,0.22,0.22
Durham,0.19,0.20,0.20,0.20,0.20
Halton,0.22,0.22,0.22,0.23,0.23
Hamilton,0.20,0.20,0.20,0.20,0.22
London,0.11,0.11,0.12,0.12,0.13
Muskoka,0.15,0.15,0.17,0.16,0.16
Niagara,,,,,0.00
Ottawa,0.17,0.18,0.19,0.18,0.20
Peel,,,,0.26,0.29
Sudbury (Greater),0.13,0.14,0.16,0.17,0.17
Thunder Bay,0.16,0.00,0.18,0.19,0.18
Toronto,0.19,0.19,0.20,0.20,0.22
Waterloo,,,,0.22,0.23
Windsor,0.21,0.22,0.25,0.24,0.20
Winnipeg,0.16,0.15,0.22,,
York,,,,,
