Municipality,2012,2011,2010,2009,2008
Barrie,9.4,8.4,6.1,4.5,
Brant,,,,,5.7
Calgary,5.6,6.6,4.6,7.1,7.0
Durham,5.3,6.8,6.8,6.5,7.2
Halton,5.0,5.8,4.8,6.6,6.7
Hamilton,13.0,17.1,14.3,13.7,12.8
London,6.7,7.6,8.2,7.3,7.9
Muskoka,1.1,3.5,2.6,2.1,3.9
Niagara,,,,,
Ottawa,8.6,9.0,9.0,8.9,9.4
Peel,,,,8.0,7.3
Sudbury (Greater),8.4,13.9,9.8,13.8,9.6
Thunder Bay,12.8,13.4,8.8,12.4,11.0
Toronto,18.2,27.3,21.6,20.8,17.9
Waterloo,,,,,
Windsor,19.0,16.4,20.5,19.4,18.9
Winnipeg,31.0,21.3,12.2,,
York,1.8,0.6,1.0,0.3,0.7
