Municipality,2012,2011,2010,2009,2008
Barrie,9843.4,10246.1,10413.5,10293.4,
Brant,,,,,16171.6
Calgary,14688.3,14320.9,14684.3,15579.0,15460.8
Durham,11147.9,11375.9,11821.0,11909.0,12229.4
Halton,13825.1,13858.1,13912.6,14059.9,15320.0
Hamilton,15641.4,17128.2,18319.4,17939.6,18142.4
London,13515.5,13703.9,14218.6,14048.9,14469.3
Muskoka,14950.2,15063.6,15334.2,15455.4,14813.2
Niagara,,,15177.3,15047.7,15604.0
Ottawa,12619.1,12709.6,11566.0,11756.8,13292.4
Peel,,,,13798.0,14885.0
Sudbury (Greater),14692.7,15361.4,15225.4,14901.2,15958.1
Thunder Bay,14227.6,14366.8,15390.2,15910.4,15814.0
Toronto,13855.3,13906.2,14193.7,14641.7,14795.7
Waterloo,10321.8,10342.1,10644.7,11069.1,11498.9
Windsor,19252.3,19774.8,19963.3,20468.0,22494.7
Winnipeg,11847.3,11560.3,10967.7,,
York,12056.8,12022.0,12368.6,12337.2,12607.3
