Municipality,2012,2011,2010,2009,2008
Barrie,100.71,100.71,100.70,77.24,
Brant,,,,,
Calgary,848.20,848.20,848.00,848.00,
Durham,2537.00,2537.00,2535.00,2535.00,
Halton,969.25,969.25,969.25,972.83,
Hamilton,1127.75,1127.75,1127.75,1127.75,
London,423.39,423.39,423.00,423.00,
Muskoka,3826.00,3826.00,3826.00,3826.00,
Niagara,1896.00,1896.00,1896.00,1896.00,
Ottawa,2796.10,2791.00,2796.10,2796.00,
Peel,,,,1254.20,
Sudbury (Greater),3627.00,3627.00,3627.00,3627.00,
Thunder Bay,328.24,328.24,328.48,328.48,
Toronto,634.06,634.06,634.06,634.06,
Waterloo,1382.17,1382.17,1382.17,1382.00,
Windsor,146.91,146.91,146.91,146.91,
Winnipeg,478.42,478.42,478.42,,
York,1776.00,1776.00,1776.00,1776.00,
