Municipality,2012,2011,2010,2009,2008
Barrie,,,,,
Brant,,,,,16936.000
Calgary,,,,,1042892.000
Durham,580675.000,572680.000,564155.000,570779.000,558782.000
Halton,483221.000,476326.000,472738.000,459757.000,446935.000
Hamilton,495697.000,490165.000,486222.000,483641.000,477580.000
London,358842.000,355900.000,354655.000,351779.000,348838.000
Muskoka,28668.000,28343.000,28107.000,27985.000,29592.000
Niagara,,,391413.000,389649.000,389649.000
Ottawa,842411.000,835153.000,,,816386.000
Peel,,,,1283984.000,1252500.000
Sudbury (Greater),134740.000,134740.000,133640.000,133640.000,133640.000
Thunder Bay,102500.000,102500.000,102500.000,102500.000,102500.000
Toronto,,,,,
Waterloo,535783.000,523930.000,518891.000,513595.000,499912.000
Windsor,,,,,
Winnipeg,,,,,
York,1042056.000,1020453.000,998264.000,970650.000,950678.400
