Municipality,2012,2011,2010,2009,2008
Barrie,99.57,99.89,99.92,99.63,
Brant,,,,,100.00
Calgary,100.00,100.00,100.00,100.00,100.00
Durham,99.87,99.73,99.86,99.89,99.77
Halton,99.90,99.90,99.81,99.84,99.73
Hamilton,99.97,99.97,99.94,99.94,99.97
London,99.80,99.72,99.91,100.00,99.82
Muskoka,99.95,99.92,99.97,100.00,100.00
Niagara,,,100.00,100.00,100.00
Ottawa,99.56,99.82,99.93,99.97,99.96
Peel,,,,99.90,99.98
Sudbury (Greater),99.78,99.89,99.88,99.49,99.92
Thunder Bay,99.89,99.82,99.85,99.67,99.72
Toronto,99.76,99.77,99.80,99.84,99.94
Waterloo,99.98,99.97,99.91,99.95,99.95
Windsor,99.90,99.93,99.93,100.00,97.00
Winnipeg,99.89,99.66,100.00,,
York,100.00,100.00,99.95,99.97,100.00
