Municipality,2012,2011,2010,2009,2008
Barrie,0.0,0.0,0.0,0.0,
Brant,,,,,0.0
Calgary,35000.0,0.0,0.0,0.0,0.0
Durham,0.0,0.0,0.0,0.0,0.0
Halton,0.0,0.0,0.0,0.0,0.0
Hamilton,0.0,111.0,115.0,0.0,0.0
London,0.0,0.0,0.0,0.0,0.0
Muskoka,0.0,0.0,2.0,0.0,0.0
Niagara,,,0.0,,0.0
Ottawa,1950.0,1488.0,0.0,24.0,0.0
Peel,,,,0.0,0.0
Sudbury (Greater),0.0,0.0,0.0,0.0,0.0
Thunder Bay,42.0,0.0,0.0,0.0,0.0
Toronto,0.0,0.0,0.0,0.0,0.0
Waterloo,0.0,0.0,0.0,0.0,0.0
Windsor,0.0,0.0,0.0,0.0,0.0
Winnipeg,0.0,0.0,0.0,,
York,0.0,0.0,,,
