Municipality,2012,2011,2010,2009,2008
Barrie,42667.00,43075.00,42420.00,42000.00,
Brant,,,,,6027.00
Calgary,446723.00,422290.00,414185.00,409881.00,402500.00
Durham,216771.00,213271.00,210228.00,206913.00,203581.00
Halton,176230.00,170867.00,169222.00,164178.00,159422.00
Hamilton,198474.00,197828.00,195267.00,193130.00,189388.00
London,164445.00,162807.00,160182.00,158119.00,157037.00
Muskoka,11467.00,11337.00,11228.00,11081.00,10960.00
Niagara,,,,132262.00,132262.00
Ottawa,355252.00,350698.00,331635.00,337824.00,316837.00
Peel,,,,378087.00,384269.00
Sudbury (Greater),60838.40,60838.40,60140.00,60140.00,60090.00
Thunder Bay,40073.00,40073.00,40073.00,40073.00,40409.00
Toronto,1118435.00,1097600.00,,,
Waterloo,191928.00,189331.00,187197.00,183325.00,180332.00
Windsor,,,88450.00,88450.00,88450.00
Winnipeg,282104.00,280203.00,280719.00,,
York,,306281.00,299278.00,284860.00,284860.40
