Municipality,2012,2011,2010,2009,2008
Barrie,14654.73,14793.67,10519.40,11136.86,
Brant,,,,,
Calgary,20362.56,21879.89,19178.57,18805.74,
Durham,18354.13,16386.59,18157.95,17131.75,
Halton,20229.20,21983.06,15709.29,19071.00,
Hamilton,15915.05,16647.55,14574.35,13739.06,
London,24044.30,20778.20,19607.44,19748.02,
Muskoka,14953.02,14436.75,14955.12,14438.18,
Niagara,14109.94,13838.15,20982.22,11774.78,
Ottawa,30564.22,25138.80,21947.71,21172.65,
Peel,,,,15340.41,
Sudbury (Greater),15036.83,15366.25,13839.33,15106.43,
Thunder Bay,16742.80,18066.96,15399.48,17919.85,
Toronto,15036.11,19526.99,17848.76,27511.91,
Waterloo,,,,,
Windsor,11607.61,11319.22,11083.64,7306.12,
Winnipeg,12806.20,12394.46,14780.74,,
York,164502.00,140107.86,135757.46,100951.97,
