Municipality,2012,2011,2010,2009,2008
Barrie,112.15,112.47,99.50,80.59,
Brant,,,,,80.69
Calgary,142.03,145.67,157.04,156.47,
Durham,85.80,80.69,77.53,85.74,96.02
Halton,131.59,124.26,104.90,86.79,131.08
Hamilton,147.40,166.53,159.59,179.60,161.49
London,98.25,92.14,90.96,85.23,87.29
Muskoka,246.24,280.36,260.55,231.23,364.62
Niagara,101.31,103.92,93.97,105.23,100.80
Ottawa,91.49,79.76,71.62,70.05,69.78
Peel,,,,99.96,79.37
Sudbury (Greater),126.91,115.06,107.71,141.97,106.98
Thunder Bay,138.19,141.28,165.80,133.81,132.30
Toronto,109.14,105.11,112.52,86.63,88.99
Waterloo,118.55,110.48,106.82,117.40,87.70
Windsor,71.82,72.69,92.86,145.30,98.08
Winnipeg,70.56,63.05,,,
York,,,,,
