Municipality,2012,2011,2010,2009,2008
Barrie,1.00,1.00,1.07,1.02,
Brant,,,,,1.03
Calgary,0.94,0.89,0.88,0.98,1.02
Durham,0.87,0.88,0.88,0.91,0.93
Halton,1.05,1.09,1.09,1.18,1.23
Hamilton,0.96,0.97,1.00,1.05,1.11
London,0.81,0.84,0.82,0.89,0.90
Muskoka,0.46,0.48,0.49,0.45,0.65
Niagara,0.90,0.92,0.99,1.01,1.06
Ottawa,0.85,0.87,0.90,0.88,0.90
Peel,,,,1.23,1.18
Sudbury (Greater),0.58,0.61,0.74,0.72,0.69
Thunder Bay,1.06,0.94,0.91,0.88,0.90
Toronto,0.66,0.68,0.69,0.68,0.73
Waterloo,0.92,0.92,0.92,0.99,0.95
Windsor,0.92,0.96,0.88,0.72,0.97
Winnipeg,0.92,0.93,,,
York,1.06,1.05,1.06,1.06,1.08
