Municipality,2012,2011,2010,2009,2008
Barrie,392873.00,,,,
Brant,,,,,
Calgary,4312081.00,,,,
Durham,256153.00,,,,
Halton,,,,,
Hamilton,768449.00,,,,
London,483436.00,,,,
Muskoka,2074870.00,,,,
Niagara,1497496.00,,,,
Ottawa,8912836.00,,,,
Peel,,,,,
Sudbury (Greater),422383.00,,,,
Thunder Bay,958554.00,,,,
Toronto,15218398.00,,,,
Waterloo,3454386.00,,,,
Windsor,838710.00,,,,
Winnipeg,145369.75,,,,
York,5.93,,,,
