Municipality,2012,2011,2010,2009,2008
Barrie,101.16,100.38,108.15,330.16,
Brant,,,,,
Calgary,46.82,34.86,67.91,32.22,
Durham,162.84,165.98,144.68,131.97,
Halton,90.69,81.70,95.65,105.14,
Hamilton,124.39,175.94,123.78,85.26,
London,33.32,27.84,20.53,20.94,
Muskoka,252.69,229.36,228.30,193.53,
Niagara,343.36,89.60,61.49,91.16,
Ottawa,91.57,43.91,76.49,56.37,
Peel,,,,123.27,
Sudbury (Greater),54.70,36.82,84.73,67.09,
Thunder Bay,40.42,44.02,33.33,20.99,
Toronto,132.22,103.87,111.79,90.40,
Waterloo,151.49,71.92,84.94,70.90,
Windsor,145.96,183.54,156.59,185.21,
Winnipeg,18.19,17.77,,,
York,123.66,113.87,107.18,,
