Municipality,2012,2011,2010,2009,2008
Barrie,158.33,158.58,144.76,142.52,
Brant,,,,,
Calgary,310.26,288.64,192.02,319.26,
Durham,177.52,165.86,170.59,175.54,
Halton,149.73,153.99,146.90,173.87,
Hamilton,219.89,181.02,162.93,141.91,
London,112.84,112.62,108.98,128.78,
Muskoka,296.69,234.66,226.11,260.69,
Niagara,136.70,183.63,183.94,193.17,
Ottawa,258.32,208.44,216.68,276.25,
Peel,,,,218.12,
Sudbury (Greater),177.62,172.21,172.48,233.83,
Thunder Bay,82.37,91.60,88.02,32.92,
Toronto,295.26,298.60,330.51,353.68,
Waterloo,125.89,120.67,140.40,116.56,
Windsor,124.62,97.64,134.89,171.90,
Winnipeg,214.42,231.07,,,
York,123.44,127.35,93.46,,
