Municipality,2012,2011,2010,2009,2008
Barrie,52,52,52,52,
Brant,,,,,0
Calgary,,,,,
Durham,52,52,52,52,52
Halton,52,52,52,52,52
Hamilton,52,52,52,52,52
London,0,0,0,0,0
Muskoka,52,52,52,52,52
Niagara,52,52,52,52,52
Ottawa,46,43,43,52,42
Peel,,,,52,52
Sudbury (Greater),52,52,52,52,52
Thunder Bay,0,0,0,0,
Toronto,52,52,52,,
Waterloo,52,52,52,52,52
Windsor,0,0,,,
Winnipeg,,,,,
York,,,,,
