Municipality,2012,2011,2010,2009,2008
Barrie,218263.00,,,,
Brant,,,,,
Calgary,1585613.00,,,,
Durham,0.00,,,,
Halton,,,,,
Hamilton,1777115.00,,,,
London,47425.00,,,,
Muskoka,,,,,
Niagara,3140.00,,,,
Ottawa,731111.00,,,,
Peel,,,,,
Sudbury (Greater),161051.00,,,,
Thunder Bay,122639.00,,,,
Toronto,1695977.00,,,,
Waterloo,0.00,,,,
Windsor,106580.00,,,,
Winnipeg,549632.69,,,,
York,,,,,
