Municipality,2012,2011,2010,2009,2008
Barrie,0.0,0.0,0.0,0.0,
Brant,,,,,55.0
Calgary,0.0,0.0,0.0,0.0,0.0
Durham,8.3,8.4,8.5,8.6,9.6
Halton,4.0,4.1,4.0,4.0,4.5
Hamilton,100.0,8.0,8.0,7.0,20.0
London,2.0,2.0,2.0,2.0,2.0
Muskoka,72.0,72.0,72.0,72.0,73.0
Niagara,14.0,14.0,14.0,12.0,12.0
Ottawa,8.6,8.4,8.0,8.0,8.0
Peel,,,,5.0,5.0
Sudbury (Greater),35.0,35.0,35.0,35.0,35.0
Thunder Bay,20.0,20.0,20.0,20.0,20.0
Toronto,0.0,0.0,0.0,0.0,0.0
Waterloo,10.0,10.0,10.0,10.0,10.0
Windsor,0.0,0.0,0.0,0.0,0.0
Winnipeg,0.0,0.0,100.0,,
York,1.0,1.0,1.0,1.0,1.0
