Municipality,2012,2011,2010,2009,2008
Barrie,75752.00,,,,
Brant,,,,,
Calgary,383334.00,,,,
Durham,644579.00,,,,
Halton,,,,,
Hamilton,734288.00,,,,
London,,,,,
Muskoka,,,,,
Niagara,771936.00,,,,
Ottawa,160838.00,,,,
Peel,,,,,
Sudbury (Greater),0.00,,,,
Thunder Bay,0.00,,,,
Toronto,10871420.56,,,,
Waterloo,864040.00,,,,
Windsor,2131846.00,,,,
Winnipeg,103800.48,,,,
York,,,,,
