Municipality,2012,2011,2010,2009,2008
Barrie,1,10,10,8,
Brant,,,,,3
Calgary,9,9,9,9,9
Durham,7,7,7,7,7
Halton,5,5,5,5,5
Hamilton,13,13,13,13,13
London,4,4,1,1,1
Muskoka,3,3,3,3,3
Niagara,14,14,14,14,14
Ottawa,3,3,3,3,3
Peel,,,,22,22
Sudbury (Greater),3,3,4,4,4
Thunder Bay,1,1,1,1,1
Toronto,162,162,162,1,44
Waterloo,6,6,6,6,6
Windsor,1,1,1,1,1
Winnipeg,34,35,,,
York,0,,,0,
