Municipality,2012,2011,2010,2009,2008
Barrie,,,,,
Brant,,,,,
Calgary,20780.00,,,,
Durham,0.00,,,,
Halton,,,,,
Hamilton,,,,,
London,,,,,
Muskoka,,,,,
Niagara,0.00,,,,
Ottawa,0.00,,,,
Peel,,,,,
Sudbury (Greater),0.00,,,,
Thunder Bay,0.00,,,,
Toronto,263829.72,,,,
Waterloo,0.00,,,,
Windsor,0.00,,,,
Winnipeg,0.00,,,,
York,,,,,
