Municipality,2012,2011,2010,2009,2008
Barrie,52244.00,52200.00,51295.00,50123.00,
Brant,,,,,13267.00
Calgary,434474.00,422290.00,414185.00,409881.00,402500.00
Durham,225500.00,222300.00,219000.00,216400.00,214322.00
Halton,183678.00,178232.00,176222.00,171478.00,166722.00
Hamilton,215733.00,212262.00,209965.00,207667.00,203643.00
London,169145.00,167570.00,164945.00,162819.00,159393.00
Muskoka,47996.00,47500.00,47397.00,46391.00,45871.00
Niagara,191153.00,190150.00,188554.00,186504.00,187524.00
Ottawa,387732.00,382873.00,377098.00,371975.00,365770.00
Peel,,,,383969.00,390500.00
Sudbury (Greater),74069.00,73312.00,72536.00,71854.00,71715.00
Thunder Bay,49547.00,49547.00,49485.00,49485.00,49485.00
Toronto,1118435.00,1097600.00,1090800.00,1084000.00,1082000.00
Waterloo,199450.00,196420.00,194890.00,191170.00,189830.00
Windsor,87840.00,86144.00,88450.00,88450.00,88450.00
Winnipeg,283546.00,281702.00,282218.00,,
York,332788.00,325831.00,318381.00,308852.00,303043.00
