Municipality,2012,2011,2010,2009,2008
Barrie,52,52,52,52,
Brant,,,,,52
Calgary,52,52,52,52,52
Durham,26,26,26,26,
Halton,26,26,26,26,26
Hamilton,52,52,52,52,52
London,42,42,42,42,42
Muskoka,39,39,39,39,39
Niagara,52,52,52,52,52
Ottawa,48,52,52,52,52
Peel,,,,52,52
Sudbury (Greater),52,52,52,52,52
Thunder Bay,52,52,52,52,52
Toronto,,,,,
Waterloo,52,52,52,52,52
Windsor,52,52,52,38,52
Winnipeg,50,50,,,
York,,,,,
