Municipality,2012,2011,2010,2009,2008
Barrie,1,1,1,1,
Brant,,,,,3
Calgary,3,3,3,3,3
Durham,11,10,10,10,10
Halton,5,5,5,5,5
Hamilton,17,18,18,8,8
London,6,6,5,5,5
Muskoka,14,14,14,14,14
Niagara,15,15,15,15,15
Ottawa,13,3,3,3,3
Peel,,,,10,10
Sudbury (Greater),21,20,20,17,16
Thunder Bay,1,1,1,1,1
Toronto,12,10,10,,11
Waterloo,6,6,6,6,6
Windsor,0,0,0,0,0
Winnipeg,1,1,,,
York,7,7,6,6,5
