Municipality,2012,2011,2010,2009,2008
Barrie,34,34,38,38,
Brant,,,,,4
Calgary,,,,,
Durham,24,24,24,24,24
Halton,18,18,18,18,18
Hamilton,28,28,28,28,28
London,7,7,7,7,7
Muskoka,4,4,4,4,4
Niagara,52,52,52,52,52
Ottawa,46,43,43,19,19
Peel,,,,32,29
Sudbury (Greater),52,52,52,52,52
Thunder Bay,2,2,2,2,2
Toronto,21,22,22,,
Waterloo,22,22,22,22,22
Windsor,13,13,13,6,13
Winnipeg,16,,,,
York,,,,,
