Municipality,2012,2011,2010,2009,2008
Barrie,,0,0,,
Brant,,,,,0
Calgary,,,,,
Durham,,,,,
Halton,9,9,8,8,9
Hamilton,24,24,24,24,24
London,42,42,42,42,42
Muskoka,0,,0,0,4
Niagara,52,52,52,52,52
Ottawa,48,52,52,52,52
Peel,,,,52,52
Sudbury (Greater),52,52,52,52,52
Thunder Bay,,,,,
Toronto,26,52,52,,
Waterloo,52,52,52,52,52
Windsor,0,0,0,0,0
Winnipeg,,,,,
York,,,,,
