Municipality,2012,2011,2010,2009,2008
Barrie,0.56,0.57,0.58,0.57,
Brant,,,,,0.59
Calgary,0.66,0.68,0.68,0.73,0.77
Durham,0.50,0.51,0.52,0.54,0.47
Halton,0.48,0.50,0.50,0.52,0.56
Hamilton,0.52,0.53,0.54,0.56,0.62
London,0.51,0.54,0.54,0.57,0.59
Muskoka,0.26,0.26,0.24,0.23,0.32
Niagara,0.48,0.49,0.61,0.62,0.64
Ottawa,0.52,0.53,0.55,0.61,0.61
Peel,,,,0.61,0.61
Sudbury (Greater),0.57,0.57,0.68,0.65,0.78
Thunder Bay,0.88,0.76,0.73,0.70,0.74
Toronto,0.35,0.37,0.40,0.43,0.43
Waterloo,0.46,0.47,0.48,0.49,0.53
Windsor,0.61,0.65,0.60,0.43,0.62
Winnipeg,0.71,0.74,,,
York,0.50,0.52,0.54,0.49,0.53
