Municipality,2012,2011,2010,2009,2008
Barrie,52,52,52,52,
Brant,,,,,26
Calgary,52,52,52,52,
Durham,52,52,52,52,
Halton,52,52,52,52,52
Hamilton,52,52,52,52,52
London,42,42,42,42,42
Muskoka,52,52,52,52,52
Niagara,52,52,52,52,52
Ottawa,52,52,52,52,52
Peel,,,,52,52
Sudbury (Greater),52,52,52,52,52
Thunder Bay,26,26,26,26,26
Toronto,,,,,
Waterloo,52,52,52,52,52
Windsor,26,26,26,19,26
Winnipeg,50,50,,,
York,,,,,
