Municipality,2012,2011,2010,2009,2008
Barrie,100.0,100.0,100.0,100.0,
Brant,,,,,45.0
Calgary,100.0,100.0,100.0,100.0,100.0
Durham,91.7,91.6,91.5,91.4,90.4
Halton,96.0,95.9,96.0,96.0,95.5
Hamilton,,92.0,92.0,93.0,80.0
London,98.0,98.0,98.0,98.0,98.0
Muskoka,28.0,28.0,28.0,28.0,27.0
Niagara,86.0,86.0,86.0,88.0,88.0
Ottawa,91.4,91.6,92.0,92.0,92.0
Peel,,,,95.0,95.0
Sudbury (Greater),65.0,65.0,65.0,65.0,65.0
Thunder Bay,80.0,80.0,80.0,80.0,80.0
Toronto,100.0,100.0,100.0,100.0,100.0
Waterloo,90.0,90.0,90.0,90.0,90.0
Windsor,100.0,100.0,100.0,100.0,100.0
Winnipeg,100.0,100.0,,,
York,99.0,99.0,99.0,99.0,99.0
