Municipality,2012,2011,2010,2009,2008
Barrie,0.004,0,0,0.01,
Calgary,0.003,0.003,0,,
Hamilton,0.006,0.006,0.007,0.01,
London,0.002,0.002,0.005,0,
Ottawa,0.003,0.004,0.005,0.01,
Sudbury (Greater),0.006,0.006,0.01,0.01,
Thunder Bay,0.011,0.013,0.011,0.01,
Toronto,0.006,0.006,0.01,0.01,
Windsor,0.008,0.009,0.007,,
Winnipeg,0.01,0.009,,,
