Municipality,2012,2011,2010,2009,2008
Barrie,401.68 ,338.58 ,331.33 ,297.19 ,
Calgary,311.56 ,312.62 ,326.01 ,,
Hamilton,317.59 ,303.84 ,330.23 ,308.97 ,
London,314.65 ,304.71 ,284.69 ,273.31 ,
Ottawa,297.57 ,288.61 ,247.88 ,264.48 ,
Sudbury (Greater),302.20 ,299.33 ,292.52 ,253.91 ,
Thunder Bay,204.91 ,194.64 ,174.55 ,159.75 ,
Toronto,329.84 ,366.89 ,301.93 ,332.83 ,
Windsor,323.51 ,318.22 ,277.58 ,273.94 ,
Winnipeg,227.43 ,224.62 ,,,
