Municipality,2012,2011,2010,2009,2008
Barrie,14.20,25.80,26.20,13.80,
Calgary,10.80,10.60,16.70,,
Hamilton,23.70,28.20,21.00,,29.90
London,62.80,42.70,58.90,26.50,16.50
Ottawa,17.00,12.90,32.60,29.10,21.70
Sudbury (Greater),8.60,5.40,9.30,7.80,12.30
Thunder Bay,13.10,35.80,13.80,20.50,18.10
Toronto,12.70,13.70,14.60,16.70,19.50
Windsor,18.00,18.70,21.00,14.60,22.30
Winnipeg,37.40,,,,
