Municipality,2012,2011,2010,2009,2008
Barrie,3325.10 ,3130.45 ,3071.39 ,2635.02 ,
Calgary,3979.07 ,4069.41 ,4020.42 ,,
Hamilton,3192.50 ,3089.86 ,3084.60 ,2982.96 ,2806.61 
London,6937.69 ,6597.50 ,6137.51 ,5911.27 ,5540.15 
Ottawa,6532.40 ,6312.39 ,5539.12 ,5407.18 ,4991.44 
Sudbury (Greater),5234.46 ,5259.05 ,5394.73 ,4690.01 ,3852.93 
Thunder Bay,3445.15 ,3566.23 ,3197.71 ,3237.32 ,3247.99 
Toronto,3339.57 ,3089.61 ,2599.23 ,2941.22 ,2654.60 
Windsor,6681.16 ,6506.50 ,5288.22 ,5264.24 ,4544.90 
Winnipeg,1749.27 ,1689.11 ,,,
