Municipality,2012,2011,2010,2009,2008
Barrie,1.55 ,1.45 ,1.46 ,1.47 ,
Calgary,0.97 ,0.95 ,0.93 ,,
Hamilton,1.65 ,1.73 ,1.74 ,1.79 ,
London,1.64 ,1.70 ,1.68 ,1.70 ,
Ottawa,1.41 ,1.50 ,1.39 ,1.44 ,
Sudbury (Greater),1.56 ,1.71 ,1.88 ,2.05 ,
Thunder Bay,3.49 ,3.63 ,3.70 ,3.48 ,
Toronto,0.89 ,1.06 ,0.95 ,1.13 ,
Windsor,2.96 ,2.72 ,2.40 ,2.37 ,
Winnipeg,1.76 ,1.78 ,,,
